"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\App.css", "CSS", 0, 0, 5, 0, 0, 4, 9
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\App.tsx", "TypeScript JSX", 0, 118, 0, 0, 19, 33, 170
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\index.css", "CSS", 0, 0, 932, 0, 38, 175, 1145
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\interfaces\Routes_interface.ts", "TypeScript", 461, 0, 0, 0, 34, 19, 514
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\interfaces\index.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\main.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 4, 22
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\AccesoriosEnum.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 14
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\ArmazonesEnum.ts", "TypeScript", 26, 0, 0, 0, 0, 1, 27
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\CristalesEnum.ts", "TypeScript", 28, 0, 0, 0, 0, 1, 29
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\OTAreasEnum.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 14
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\OTFormsEnum.ts", "TypeScript", 141, 0, 0, 0, 3, 16, 160
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\OTGrillaEnum.ts", "TypeScript", 36, 0, 0, 0, 1, 1, 38
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\ProyectosDestinosEnum.ts", "TypeScript", 9, 0, 0, 0, 0, 1, 10
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\ProyectosDocumEnum.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 17
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\ReservaArmazonesEnum.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 17
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\Enums\index.ts", "TypeScript", 8, 0, 0, 0, 0, 1, 9
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\AjusteInventario.tsx", "TypeScript JSX", 0, 69, 0, 0, 4, 14, 87
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ComplexNavbar.tsx", "TypeScript JSX", 0, 933, 0, 0, 34, 112, 1079
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ContactComponent.tsx", "TypeScript JSX", 0, 76, 0, 0, 0, 9, 85
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ErrorOTModal.tsx", "TypeScript JSX", 0, 56, 0, 0, 8, 18, 82
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ExportCustomToCsv.tsx", "TypeScript JSX", 0, 55, 0, 0, 4, 19, 78
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ExportToCsv.tsx", "TypeScript JSX", 0, 130, 0, 0, 107, 45, 282
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ExportToPDF.tsx", "TypeScript JSX", 0, 165, 0, 0, 50, 56, 271
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\FilterButton.tsx", "TypeScript JSX", 0, 53, 0, 0, 20, 14, 87
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\FrameComponent.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 3, 24
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ImportToCsv.tsx", "TypeScript JSX", 0, 217, 0, 0, 119, 77, 413
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\LogoImagenImpresion.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 4, 16
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ModalImpor.tsx", "TypeScript JSX", 0, 120, 0, 0, 19, 40, 179
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTAreasButtons.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 10, 79
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTAnulacion.tsx", "TypeScript JSX", 0, 177, 0, 0, 5, 31, 213
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTArmazones.tsx", "TypeScript JSX", 0, 742, 0, 0, 248, 167, 1157
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTBitacora.tsx", "TypeScript JSX", 0, 37, 0, 0, 1, 13, 51
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTClientes.tsx", "TypeScript JSX", 0, 361, 0, 0, 14, 62, 437
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTCristales.tsx", "TypeScript JSX", 0, 618, 0, 0, 172, 111, 901
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTDerivacion.tsx", "TypeScript JSX", 0, 238, 0, 0, 4, 39, 281
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTGarantia.tsx", "TypeScript JSX", 0, 139, 0, 0, 1, 18, 158
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTOptica.tsx", "TypeScript JSX", 0, 566, 0, 0, 30, 81, 677
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTPendiente.tsx", "TypeScript JSX", 0, 211, 0, 0, 3, 38, 252
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTReceta.tsx", "TypeScript JSX", 0, 434, 0, 0, 14, 57, 505
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTValidarBodega.tsx", "TypeScript JSX", 0, 712, 0, 0, 230, 152, 1094
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\FOTValidarEmpaque.tsx", "TypeScript JSX", 0, 119, 0, 0, 7, 27, 153
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\OTSelectInputComponent.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 8, 39
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\OTTextInputComponent.tsx", "TypeScript JSX", 0, 385, 0, 0, 15, 32, 432
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\Otprueba.tsx", "TypeScript JSX", 0, 46, 0, 0, 4, 12, 62
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTForms\index.ts", "TypeScript", 10, 0, 0, 0, 1, 1, 12
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTGrillaButtons.tsx", "TypeScript JSX", 0, 262, 0, 0, 39, 64, 365
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\OTPrimaryButtons.tsx", "TypeScript JSX", 0, 802, 0, 0, 135, 234, 1171
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\PrimaryButtonsComponent.tsx", "TypeScript JSX", 0, 278, 0, 0, 53, 66, 397
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\PrimaryKeySearch.tsx", "TypeScript JSX", 0, 477, 0, 0, 14, 62, 553
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ProyectoComponent.tsx", "TypeScript JSX", 0, 102, 0, 0, 0, 12, 114
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\QrScannerInput.tsx", "TypeScript JSX", 0, 10, 0, 0, 1, 2, 13
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\RegProCom.tsx", "TypeScript JSX", 0, 174, 0, 0, 12, 29, 215
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\StateCountBarOT.tsx", "TypeScript JSX", 0, 106, 0, 0, 1, 45, 152
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\TableComponent.tsx", "TypeScript JSX", 0, 344, 0, 0, 36, 83, 463
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\TableComponent2.tsx", "TypeScript JSX", 0, 209, 0, 0, 2, 61, 272
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\TableOTComponent.tsx", "TypeScript JSX", 0, 223, 0, 0, 3, 27, 253
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\ToastNotification.tsx", "TypeScript JSX", 0, 21, 0, 0, 1, 6, 28
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\WhastappForm.tsx", "TypeScript JSX", 0, 150, 0, 0, 10, 40, 200
"c:\Users\basti\OneDrive\Escritorio\GestionOT\frontendot\src\presentation\components\forms\RadioButtonComponent.tsx", "TypeScript JSX", 0, 97, 0, 0, 0, 11, 108
